DeconMSn Version:     2.4.9069.30418 (2024-10-30)
Dataset:              QC_Shew_19_01_top3_500ng-run1_11Apr19_Brandi_Thermo-10408462
MSn scans processed:  275
DTAs written:         270
Date/Time:            10/30/2024 16:54
-----------------------------------------------------------


MSn_Scan	MSn_Level	Parent_Scan	Parent_Scan_Level	Parent_Mz	Mono_Mz	Charge_State	Monoisotopic_Mass	Isotopic_Fit	Parent_Intensity	Mono_Intensity
881	2	878	1	776.8886	776.6377	4	3102.5218	1.0000	27743	15162
883	2	882	1	642.3535	642.3535	3	1924.0404	0.0307	37105	37105
884	2	882	1	700.3560	700.3560	4	2795.3916	0.0109	25310	16202
887	2	886	1	602.3305	602.3305	2	1202.6475	0.0036	34656	34656
888	2	886	1	654.8969	654.8969	2	1307.7803	0.0036	32601	32601
891	2	890	1	727.0960	727.0960	3	2177.2649	0.0128	49477	48342
892	2	890	1	809.4158	809.4158	3	2424.2242	0.0450	33991	22394
895	2	894	1	733.1196	733.1196	4	2927.4487	0.0145	27477	15135
896	2	894	1	784.4072	784.4072	3	2349.1985	0.0105	19564	13135
900	2	898	1	716.7403	716.7403	3	2146.1979	0.0123	51406	40126
903	2	902	1	596.8129	596.8129	2	1191.6122	0.0052	40408	40408
904	2	902	1	718.4012	718.4012	3	2151.1804	0.0278	21869	15121
907	2	906	1	600.3378	600.3378	3	1797.9931	0.0161	54003	54003
908	2	906	1	617.3625	617.3625	2	1232.7115	0.0067	40592	40592
909	2	906	1	861.4260	861.1768	4	3440.6803	0.1047	28849	21303
912	2	910	1	772.9184	772.4160	2	1542.8185	0.0479	24201	26411
913	2	910	1	546.2825	546.2825	2	1090.5515	0.0049	18905	18905
915	2	914	1	681.0666	681.0666	3	2039.1766	0.0161	18881	15706
916	2	914	1	690.0216	690.0216	3	2067.0446	0.0583	14426	14426
920	2	918	1	610.8541	610.8541	2	1219.6948	0.0096	24279	24279
924	2	922	1	750.3639	750.3639	4	2996.4259	0.0032	35283	22346
925	2	922	1	729.3926	729.3926	3	2184.1547	0.0330	33712	26306
928	2	926	1	696.3685	696.3685	2	1390.7236	0.0130	27880	27880
929	2	926	1	680.1005	680.1005	4	2715.3723	0.0316	20757	10888
935	2	934	1	470.9299	470.9299	3	1409.7696	0.0044	41906	41906
936	2	934	1	857.0772	857.4108	3	2567.2068	0.0396	32512	31286
940	2	938	1	735.3937	735.3934	4	2936.5438	0.0368	25765	25765
941	2	938	1	669.0033	669.0033	3	2003.9898	0.0319	23453	23453
944	2	942	1	667.8688	667.3671	4	2665.4394	1.0000	12671	11300
947	2	946	1	817.4482	817.4482	2	1632.8830	0.0428	24723	24723
948	2	946	1	757.7545	757.7545	3	2269.2404	0.0185	15894	12092
949	2	946	1	545.6350	545.6350	3	1632.8821	0.0767	13203	9834
952	2	950	1	612.6828	612.3487	3	1834.0258	0.0315	21871	23405
956	2	954	1	623.5989	623.5989	4	2489.3659	0.0147	16403	9554
959	2	958	1	830.4191	830.4181	4	3316.6425	0.0923	21785	21785
960	2	958	1	935.4729	935.4729	3	2802.3956	0.0585	22176	11644
967	2	966	1	670.8578	670.8578	2	1339.7022	0.0062	18751	18751
968	2	966	1	720.3408	720.3408	4	2876.3333	0.0302	9854	8229
969	2	966	1	698.3744	698.3739	3	2091.0987	0.1484	6731	6731
972	2	970	1	683.0938	683.0938	4	2727.3453	0.0162	31520	26322
977	2	974	1	1029.7325	1029.7325	4	4111.8955	0.0303	17577	6326
979	2	978	1	755.4297	755.4297	2	1508.8459	0.0096	36443	36443
980	2	978	1	684.6798	684.3453	3	2050.0158	0.0232	10784	10999
985	2	982	1	712.3393	712.3393	4	2844.3274	0.0098	25937	16722
987	2	986	1	601.3332	601.3332	2	1200.6529	0.0936	37790	37790
988	2	986	1	942.9889	942.9889	4	3766.9258	0.0569	28556	11848
989	2	986	1	500.2985	500.2985	3	1497.8753	0.0138	27880	27880
991	2	990	1	675.4070	675.4070	3	2022.1979	0.0158	34985	27954
992	2	990	1	1085.0379	1085.0379	4	4334.1194	0.0273	30470	10127
993	2	990	1	759.4157	759.4157	3	2274.2241	0.0167	21948	18552
995	2	994	1	891.4932	891.4932	3	2670.4565	0.0203	28207	16051
996	2	994	1	715.8564	715.8564	4	2858.3958	0.0123	22751	15566
