ScanNumber	ScanTypeName	ScanType	ScanStartTime
106	HMS	1	1.8751
107	CID-HMSn	2	1.8891
108	CID-HMSn	2	1.9121
109	CID-HMSn	2	1.9329
110	HMS	1	1.9532
111	CID-HMSn	2	1.9672
112	CID-HMSn	2	1.9902
113	CID-HMSn	2	2.0111
114	HMS	1	2.0314
115	CID-HMSn	2	2.0476
116	CID-HMSn	2	2.0684
117	CID-HMSn	2	2.0891
118	HMS	1	2.1096
119	CID-HMSn	2	2.1257
120	CID-HMSn	2	2.1331
121	CID-HMSn	2	2.1517
122	HMS	1	2.1721
123	CID-HMSn	2	2.1862
124	CID-HMSn	2	2.2081
125	CID-HMSn	2	2.2277
126	HMS	1	2.2481
127	CID-HMSn	2	2.2644
128	CID-HMSn	2	2.2737
129	CID-HMSn	2	2.2946
130	HMS	1	2.3149
131	CID-HMSn	2	2.3312
132	CID-HMSn	2	2.3467
133	CID-HMSn	2	2.3674
134	HMS	1	2.3877
135	CID-HMSn	2	2.4041
136	CID-HMSn	2	2.4192
137	CID-HMSn	2	2.4399
138	HMS	1	2.4602
139	CID-HMSn	2	2.4767
140	CID-HMSn	2	2.4974
141	CID-HMSn	2	2.5171
142	HMS	1	2.5374
143	CID-HMSn	2	2.5537
144	CID-HMSn	2	2.5744
145	CID-HMSn	2	2.5941
146	HMS	1	2.6144
147	CID-HMSn	2	2.6306
148	CID-HMSn	2	2.6504
149	CID-HMSn	2	2.6701
150	HMS	1	2.6904
151	CID-HMSn	2	2.7056
152	CID-HMSn	2	2.7274
153	CID-HMSn	2	2.7471
154	HMS	1	2.7674
155	CID-HMSn	2	2.7814
156	CID-HMSn	2	2.8044
157	CID-HMSn	2	2.8252
158	HMS	1	2.8456
159	CID-HMSn	2	2.8619
160	CID-HMSn	2	2.8826
161	CID-HMSn	2	2.9022
162	HMS	1	2.9226
163	CID-HMSn	2	2.9389
164	CID-HMSn	2	2.9596
165	CID-HMSn	2	2.9804
166	HMS	1	3.0009
167	CID-HMSn	2	3.0172
168	CID-HMSn	2	3.0381
169	CID-HMSn	2	3.0589
170	HMS	1	3.0792
171	CID-HMSn	2	3.0932
172	CID-HMSn	2	3.1162
173	CID-HMSn	2	3.1371
174	HMS	1	3.1574
175	CID-HMSn	2	3.1715
176	CID-HMSn	2	3.1944
177	CID-HMSn	2	3.2151
178	HMS	1	3.2354
179	CID-HMSn	2	3.2517
180	CID-HMSn	2	3.2714
181	CID-HMSn	2	3.2911
182	HMS	1	3.3114
183	CID-HMSn	2	3.3276
184	CID-HMSn	2	3.3474
185	CID-HMSn	2	3.3682
186	HMS	1	3.3886
187	CID-HMSn	2	3.4026
188	CID-HMSn	2	3.4256
189	CID-HMSn	2	3.4452
190	HMS	1	3.4656
191	CID-HMSn	2	3.4817
192	CID-HMSn	2	3.5037
193	CID-HMSn	2	3.5246
194	HMS	1	3.5449
195	CID-HMSn	2	3.5589
196	CID-HMSn	2	3.5819
197	CID-HMSn	2	3.6026
198	HMS	1	3.6229
199	CID-HMSn	2	3.6392
200	CID-HMSn	2	3.6599
201	CID-HMSn	2	3.6796
202	HMS	1	3.7001
203	CID-HMSn	2	3.7142
204	CID-HMSn	2	3.7371
205	CID-HMSn	2	3.7577
206	HMS	1	3.7758
207	CID-HMSn	2	3.7917
208	CID-HMSn	2	3.8124
209	CID-HMSn	2	3.8321
210	HMS	1	3.8524
211	CID-HMSn	2	3.8687
212	CID-HMSn	2	3.8884
213	CID-HMSn	2	3.9091
214	HMS	1	3.9294
215	CID-HMSn	2	3.9446
216	CID-HMSn	2	3.9664
217	CID-HMSn	2	3.9849
218	HMS	1	4.0061
219	CID-HMSn	2	4.0224
220	CID-HMSn	2	4.0432
221	CID-HMSn	2	4.0641
222	HMS	1	4.0844
223	CID-HMSn	2	4.1007
224	CID-HMSn	2	4.1214
225	CID-HMSn	2	4.1411
226	HMS	1	4.1614
227	CID-HMSn	2	4.1766
228	CID-HMSn	2	4.1864
229	CID-HMSn	2	4.2071
230	HMS	1	4.2249
231	CID-HMSn	2	4.2412
232	CID-HMSn	2	4.2522
233	CID-HMSn	2	4.2699
234	HMS	1	4.2903
235	CID-HMSn	2	4.3067
236	CID-HMSn	2	4.3276
237	CID-HMSn	2	4.3472
238	HMS	1	4.3676
239	CID-HMSn	2	4.3814
240	CID-HMSn	2	4.3987
241	CID-HMSn	2	4.4184
242	HMS	1	4.4387
243	CID-HMSn	2	4.4514
244	CID-HMSn	2	4.4710
245	CID-HMSn	2	4.4926
246	HMS	1	4.5129
247	CID-HMSn	2	4.5277
248	CID-HMSn	2	4.5484
249	CID-HMSn	2	4.5692
250	HMS	1	4.5896
251	CID-HMSn	2	4.6013
252	CID-HMSn	2	4.6220
253	CID-HMSn	2	4.6436
254	HMS	1	4.6639
255	CID-HMSn	2	4.6781
256	CID-HMSn	2	4.6989
257	CID-HMSn	2	4.7146
258	HMS	1	4.7349
259	CID-HMSn	2	4.7487
260	CID-HMSn	2	4.7707
261	CID-HMSn	2	4.7914
262	HMS	1	4.8117
263	CID-HMSn	2	4.8222
264	CID-HMSn	2	4.8336
265	CID-HMSn	2	4.8532
266	HMS	1	4.8736
267	CID-HMSn	2	4.8864
268	CID-HMSn	2	4.8947
269	CID-HMSn	2	4.9099
270	HMS	1	4.9274
271	CID-HMSn	2	4.9404
272	CID-HMSn	2	4.9611
273	CID-HMSn	2	4.9817
274	HMS	1	5.0021
275	CID-HMSn	2	5.0151
276	CID-HMSn	2	5.0299
277	CID-HMSn	2	5.0442
278	HMS	1	5.0646
279	CID-HMSn	2	5.0771
280	CID-HMSn	2	5.0944
281	CID-HMSn	2	5.1152
282	HMS	1	5.1356
283	CID-HMSn	2	5.1476
284	CID-HMSn	2	5.1586
285	CID-HMSn	2	5.1712
286	HMS	1	5.1841
287	CID-HMSn	2	5.1964
288	CID-HMSn	2	5.2084
289	CID-HMSn	2	5.2291
290	HMS	1	5.2494
291	CID-HMSn	2	5.2600
292	CID-HMSn	2	5.2784
293	CID-HMSn	2	5.2981
294	HMS	1	5.3184
295	CID-HMSn	2	5.3302
296	CID-HMSn	2	5.3411
297	CID-HMSn	2	5.3511
298	HMS	1	5.3626
299	CID-HMSn	2	5.3749
300	CID-HMSn	2	5.3869
301	CID-HMSn	2	5.3982
302	HMS	1	5.4166
303	CID-HMSn	2	5.4284
